,Brand/segment,Percent increase in sales
0,L'Oréal Superior Preference/ women's hair coloring,5.3%
1,Garnier Nutrisse/ women's hair coloring,-3.7%
2,TRESemmé Tres Two/ hair spray/spritz,5.6%
3,L'Oréal Excellence/ women's hair coloring,-9.4%
4,Just For Men/ men's hair coloring,-3.5%
5,Clairol Nice 'n Easy/ women's hair coloring,-10.5%
6,Revlon ColorSilk Beautiful Color/ women's hair coloring,-0.8%
7,Conair/ hair appliances,3.5%
8,Clairol Nice 'n Easy Root Touch-Up/ women's hair coloring,8.9%
9,Organix/ hair conditioner/crème rinse,18.3%
10,Suave Proressionals/ regular shampoo,-3.3%
11,L'Oréal Feria/ women's hair coloring,-4.2%
12,Organix/ regular shampoo,33.8%
13,Rogaine/ hair growth products,5%
14,Clairol Natural Instincts/ women's hair coloring,-3.1%
15,Conair Infinit Pro/ hair appliances,2.8%
16,Suave Naturals/ regular shamppoo,-9.3%
17,Head & Shoulders Dry Scalp Care/ dandruff shampoo,-5.7%
18,Suave Professionals/ hair conditioner/crème rinse,-7.2%
19,Suave/ hair spray/spritz,-1.3%
