,association football venue,Revenue in million euros
0,FC Schalke 04 (Veltins Arena),6.0
1,FC Bayern Munich (Allianz-Arena),6.0
2,Borussia Dortmund (Signal Iduna Park),5.8
3,Eintracht Frankfurt (Commerzbank-Arena),5.5
4,TSG 1899 Hoffenheim (Wirsol Rhein-Neckar-Arena),3.75
5,Fortuna Dusseldorf (Nerkur Spielarena),3.75
6,RB Leipzig (Red Bull Arena),3.0
7,1. FC Köln (RheinEnergie Stadion),3.0
8,SV Werder Bremen (Weserstadion),3.0
9,Bayer 04 Leverkusen (BayArena),2.5
10,1. FSV Mainz 05 (Opel Arena),1.9
11,FC Augsburg (WWK Arena),1.5
12,SC Paderborn 07 (Benteler-Arena),0.5
