,player,Market value in million euros
0,Robert Lewandowski,90.0
1,Piotr Zielinski,32.0
2,Wojciech Szczesny,20.0
3,Arkadiusz Milik,20.0
4,Grzegorz Krychowiak,18.0
5,Kamil Glik,18.0
6,Karol Linetty,15.0
7,Bartosz Bereszynski,12.0
8,Lukasz Teodorczyk,7.5
9,Kamil Grosicki,7.0
10,Dawid Kownacki,7.0
11,Lukasz Fabianski,5.0
12,Jan Bednarek,5.0
13,Lukasz Piszczek,4.0
14,Maciej Rybus,3.2
15,Jacek Goralski,2.5
16,Michal Pazdan,2.0
17,Rafal Kurzawa,2.0
18,Artur Jedrzejczyk,1.5
19,Jakub Blaszczykowski,1.0
20,Thiago Cionek,0.8
21,Bartosz Bialkowski,0.75
22,Slawomir Peszko,0.3
