,Year,Number of new reported cases
0,12/18/20,0
1,12/17/20,23
2,12/16/20,287
3,12/15/20,880
4,12/14/20,1847
5,12/13/20,1751
6,12/12/20,2151
7,12/11/20,2711
8,12/10/20,2724
9,12/9/20,3064
10,12/8/20,3224
11,12/7/20,3625
12,12/6/20,2938
13,12/5/20,3454
14,12/4/20,4461
15,12/3/20,4578
16,12/2/20,4615
17,12/1/20,5061
18,11/30/20,5134
19,11/29/20,4157
20,11/28/20,4509
21,11/27/20,4778
22,11/26/20,4715
23,11/25/20,5062
24,11/24/20,4795
25,11/23/20,5105
26,11/22/20,3965
27,11/21/20,4010
28,11/20/20,4409
29,11/19/20,4257
30,11/18/20,4533
31,11/17/20,4330
32,11/16/20,4587
33,11/15/20,3666
34,11/14/20,3843
35,11/13/20,4310
36,11/12/20,4169
37,11/11/20,4359
38,11/10/20,4493
39,11/9/20,4610
40,11/8/20,3664
41,11/7/20,4035
42,11/6/20,4389
43,11/5/20,4222
44,11/4/20,4452
45,11/3/20,4300
46,11/2/20,4417
47,11/1/20,3167
48,10/31/20,3182
49,10/30/20,3341
50,10/29/20,3044
51,10/28/20,3437
52,10/27/20,3220
53,10/26/20,3270
54,10/25/20,2621
55,10/24/20,2581
56,10/23/20,2780
57,10/22/20,2717
58,10/21/20,2778
59,10/20/20,2764
60,10/19/20,2930
61,10/18/20,2254
62,10/17/20,2337
63,10/16/20,2570
64,10/15/20,2495
65,10/14/20,2483
66,10/13/20,2527
67,10/12/20,2279
68,10/11/20,1913
69,10/10/20,2095
70,10/9/20,2216
71,10/8/20,2156
72,10/7/20,2247
73,10/6/20,2214
74,10/5/20,2377
75,10/4/20,1902
76,10/3/20,1820
77,10/2/20,2092
78,10/1/20,2103
79,9/30/20,2213
80,9/29/20,2237
81,9/28/20,2389
82,9/27/20,1935
83,9/26/20,1831
84,9/25/20,2024
85,9/24/20,1864
86,9/23/20,1845
87,9/22/20,1825
88,9/21/20,1823
89,9/20/20,1339
90,9/19/20,1272
91,9/18/20,1390
92,9/17/20,1247
93,9/16/20,1344
94,9/15/20,1308
95,9/14/20,1232
96,9/13/20,964
97,9/12/20,962
98,9/11/20,902
99,9/10/20,924
100,9/9/20,970
101,9/8/20,940
102,9/7/20,772
103,9/6/20,669
104,9/5/20,639
105,9/4/20,698
106,9/3/20,613
107,9/2/20,681
108,9/1/20,713
109,8/31/20,621
110,8/30/20,524
111,8/29/20,427
112,8/28/20,537
113,8/27/20,446
114,8/26/20,534
115,8/25/20,577
116,8/24/20,533
117,8/23/20,384
118,8/22/20,402
119,8/21/20,396
120,8/20/20,425
121,8/19/20,432
122,8/18/20,408
123,8/17/20,483
124,8/16/20,373
125,8/15/20,351
126,8/14/20,339
127,8/13/20,399
128,8/12/20,363
129,8/11/20,450
130,8/10/20,429
131,8/9/20,306
132,8/8/20,310
133,8/7/20,368
134,8/6/20,340
135,8/5/20,369
136,8/4/20,404
137,8/3/20,427
138,8/2/20,324
139,8/1/20,319
140,7/31/20,327
141,7/30/20,319
142,7/29/20,381
143,7/28/20,384
144,7/27/20,472
145,7/26/20,336
146,7/25/20,308
147,7/24/20,409
148,7/23/20,423
149,7/22/20,437
150,7/21/20,483
151,7/20/20,550
152,7/19/20,375
153,7/18/20,402
154,7/17/20,489
155,7/16/20,454
156,7/15/20,553
157,7/14/20,536
158,7/13/20,599
159,7/12/20,388
160,7/11/20,382
161,7/10/20,396
162,7/9/20,412
163,7/8/20,427
164,7/7/20,426
165,7/6/20,470
166,7/5/20,277
167,7/4/20,297
168,7/3/20,288
169,7/2/20,259
170,7/1/20,278
171,6/30/20,296
172,6/29/20,317
173,6/28/20,289
174,6/27/20,274
175,6/26/20,255
176,6/25/20,389
177,6/24/20,277
178,6/23/20,311
179,6/22/20,336
180,6/21/20,279
181,6/20/20,277
182,6/19/20,332
183,6/18/20,316
184,6/17/20,348
185,6/16/20,354
186,6/15/20,389
187,6/14/20,307
188,6/13/20,280
189,6/12/20,375
190,6/11/20,360
191,6/10/20,413
192,6/9/20,363
193,6/8/20,387
194,6/7/20,333
195,6/6/20,385
196,6/5/20,446
197,6/4/20,443
198,6/3/20,512
199,6/2/20,498
200,6/1/20,623
201,5/31/20,488
202,5/30/20,553
203,5/29/20,678
204,5/28/20,581
205,5/27/20,696
206,5/26/20,718
207,5/25/20,837
208,5/24/20,644
209,5/23/20,714
210,5/22/20,857
211,5/21/20,865
212,5/20/20,1103
213,5/19/20,938
214,5/18/20,1072
215,5/17/20,921
216,5/16/20,988
217,5/15/20,1278
218,5/14/20,1168
219,5/13/20,1095
220,5/12/20,1092
221,5/11/20,1211
222,5/10/20,985
223,5/9/20,1038
224,5/8/20,1152
225,5/7/20,1120
226,5/6/20,1094
227,5/5/20,1256
228,5/4/20,1328
229,5/3/20,1051
230,5/2/20,1082
231,5/1/20,1606
232,4/30/20,1427
233,4/29/20,1490
234,4/28/20,1528
235,4/27/20,1666
236,4/26/20,1347
237,4/25/20,1414
238,4/24/20,1517
239,4/23/20,1573
240,4/22/20,1520
241,4/21/20,1450
242,4/20/20,1784
243,4/19/20,1286
244,4/18/20,1653
245,4/17/20,1824
246,4/16/20,1920
247,4/15/20,1845
248,4/14/20,1764
249,4/13/20,2044
250,4/12/20,1475
251,4/11/20,1613
252,4/10/20,1733
253,4/9/20,1463
254,4/8/20,1423
255,4/7/20,1300
256,4/6/20,1412
257,4/5/20,1074
258,4/4/20,1159
259,4/3/20,1338
260,4/2/20,1168
261,4/1/20,1285
262,3/31/20,971
263,3/30/20,1152
264,3/29/20,867
265,3/28/20,966
266,3/27/20,958
