,bank,Number of employees worldwide
0,Barclays Bank Plc (headquarters: London),140300
1,The Royal Bank of Scotland Group (hq: Edinburgh),106100
2,Lloyds Banking Group Plc (hq: London),97869
3,HSBC Bank Plc (hq: London),69824
4,Santander UK Plc (hq: London),19643
5,Nationwide Building Society (hq: Swindon),17268
6,Co-operative bank (hq: Manchester),7526
7,TSB Bank Plc (hq: Edinburgh),4721
8,Virgin Money (hq: Newcastle),2637
9,Metro Bank Plc (hq: London),1031
10,Shawbrook Bank Ltd (hq: Brentwood),400
