,Quarter,Revenue in million U.S. dollars
0,Q3 '20,220.81
1,Q2 '20,169.03
2,Q1 '20,249.9
3,Q4 '19,268.82
4,Q3 '19,262.47
5,Q2 '19,246.96
6,Q1 '19,235.94
7,Q4 '18,243.74
8,Q3 '18,241.1
9,Q2 '18,234.86
10,Q1 '18,223.07
11,Q4 '17,219.44
12,Q3 '17,223.3
13,Q2 '17,209.9
14,Q1 '17,198.2
15,Q4 '16,194.8
16,Q3 '16,186.2
17,Q2 '16,173.4
18,Q1 '16,158.61
19,Q4 '15,153.73
20,Q3 '15,143.6
21,Q2 '15,133.9
22,Q1 '15,118.5
23,Q4 '14,109.9
24,Q3 '14,102.5
25,Q2 '14,88.8
26,Q1 '14,76.41
27,Q4 '13,70.7
28,Q3 '13,61.18
29,Q2 '13,55.0
30,Q1 '13,46.1
31,Q4 '12,41.16
32,Q3 '12,36.4
33,Q2 '12,32.65
34,Q1 '12,27.39
35,Q4 '11,24.91
36,Q3 '11,22.3
37,Q2 '11,19.58
38,Q1 '11,16.5
39,Q4 '10,15.27
40,Q3 '10,12.59
41,Q2 '10,10.73
42,Q1 '10,9.14
