,Year,Inflation rate compared to previous year
0,2025*,5%
1,2024*,5.1%
2,2023*,5.3%
3,2022*,5.35%
4,2021*,5.4%
5,2020*,5.1%
6,2019,3.91%
7,2018,3.74%
8,2017,4.38%
9,2016,2.35%
10,2015,3.68%
11,2014,8.29%
12,2013,9.34%
13,2012,6.9%
14,2011,7.53%
15,2010,12.61%
16,2009,9.57%
17,2008,22.03%
18,2007,9.15%
19,2006,8.92%
20,2005,13.42%
21,2004,14.84%
22,2003,9.94%
23,2002,8.22%
24,2001,9.51%
25,2000,4.59%
26,1999,5.98%
27,1998,8.63%
28,1997,9.66%
29,1996,26.41%
30,1995,19.91%
31,1994,35.06%
32,1993,22.07%
33,1992,77.3%
34,1991,51.07%
35,1990,24.78%
36,1989,16.12%
37,1988,8.2%
38,1987,11.2%
39,1986,24.4%
40,1985,29.7%
