,Shipping accident,Number of victims
0,Spice Islander I (Sep 2011),2967
1,Le Joola (Sep 2002),1863
2,Al-Salam Boccaccio 98 (Feb 2006),1026
3,Princess of the Stars (Jun 2008),800
4,Nasrin 1 (Jul 2003),600
5,Senopati Nusantara (Dec 2006),500
6,Salahuddin 2 (May 2002),328
7,Sewol (Apr 2014),290
8,KM Teratai Prima 0 (Jan 2009),200
9,Bulgaria (Jul 2011),129
10,Samson (Mar 2004),121
11,Kursk (Aug 2000),118
12,Rabaul Queen (Feb 2012),115
13,Thomas of Aquinas (Aug 2013),91
14,Express Samina (Sep 2000),82
