,high school,Ranking point from 1 to 5
0,"National College of Informatics ""Tudor Vianu""",4.81
1,"National College ""Ghoerghe Lazar""",4.79
2,"National College ""Sfântul Sava""",4.79
3,"National College ""Mihai Viteazul""",4.76
4,"National College ""Spiru Haret""",4.65
5,"Educational Complex ""Lauder-Reut""",4.65
6,"National College ""Gheorghe Şincai""",4.64
7,"National Bilingual College ""George Coșbuc""",4.61
8,"National College ""Ion Creangă""",4.55
9,"National College ""Grigore Moisil""",4.5
