,Month,Price in GBP per kilogram
0,Nov '19,3.4
1,Oct '19,2.78
2,Sep '19,2.97
3,Aug '19,1.88
4,Jul '19,2.95
5,Jun '19,2.92
6,May '19,3.02
7,Apr '19,6.34
8,Nov '18,3.07
9,Oct '18,2.37
10,Sep '18,3.67
11,Aug '18,1.48
12,Jul '18,2.63
13,Jun '18,2.39
14,May '18,2.22
15,Apr '18,3.47
16,Nov '17,1.88
17,Oct '17,2.16
18,Sep '17,2.39
19,Aug '17,2.61
20,Jul '17,3.21
21,Jun '17,2.29
22,May '17,2.53
23,Apr '17,1.5
24,Mar '17,0.86
25,Dec '16,7.05
26,Nov '16,2.46
27,Oct '16,3.12
28,Sep '16,2.31
29,Aug '16,2.73
30,Jul '16,2.54
31,Jun '16,2.03
32,May '16,1.86
33,Apr '16,2.0
34,Mar '16,2.74
35,Nov '15,3.64
36,Oct '15,2.48
37,Sep '15,2.27
38,Aug '15,2.16
39,Jul '15,1.78
40,Jun '15,1.86
41,May '15,2.44
42,Apr '15,1.63
43,Mar '15,2.23
