,"Director (movie title, release year)",Age in years
0,"Damien Chazelle (La La Land, 2016)",32
1,"Norman Taurog (Skippy, 1930/31)",32
2,"Lewis Milestone (Two Arabian Knights, 1927/28)",33
3,"Sam Mendes (American Beauty, 1999)",34
4,"Frank Borzage (7th Heaven, 1927/28)",35
5,"Lewis Milestone (All Quiet on the Western Front, 1929/30)",35
6,"Tony Richardson (Tom Jones, 1963)",35
7,"Francis Ford Coppola (The Godfather Part II, 1974)",36
8,"Delbert Mann (Marty, 1955)",36
9,"Kevin Costner (Dances with Wolves, 1990)",36
