,Year,GDP per capita in U.S. dollars
0,2024*,83263.49
1,2023*,78964.17
2,2022*,75624.63
3,2021*,72554.05
4,2020*,70736.88
5,2019*,69687.55
6,2018*,70379.49
7,2017,62826.06
8,2016,57965.38
9,2015,66346.91
10,2014,93054.14
11,2013,99180.39
12,2012,101933.12
13,2011,96827.86
14,2010,72953.44
15,2009,59683.14
16,2008,74189.29
17,2007,69166.96
18,2006,62920.65
19,2005,54228.83
20,2004,44051.66
21,2003,35644.41
22,2002,30748.54
23,2001,28666.61
24,2000,29914.27
25,1999,21660.45
26,1998,18633.92
27,1997,21337.1
28,1996,17677.59
29,1995,16238.35
30,1994,14894.69
31,1993,14546.04
32,1992,15616.95
33,1991,14189.04
34,1990,15446.33
35,1989,12967.63
36,1988,12749.1
37,1987,13828.96
38,1986,13677.7
39,1985,18201.42
40,1984,20551.62
