,Year,Inflation rate compared to previous year
0,2024*,3%
1,2023*,3%
2,2022*,3%
3,2021*,3.11%
4,2020*,2.25%
5,2019*,2.51%
6,2018,5.21%
7,2017,2.85%
8,2016,1.25%
9,2015,0.67%
10,2014,3.6%
11,2013,2.58%
12,2012,3.01%
13,2011,4.76%
14,2010,4.11%
15,2009,3.23%
16,2008,9.31%
17,2007,2.78%
18,2006,6.25%
19,2005,7.7%
20,2004,5.96%
21,2003,3.45%
22,2002,3.06%
23,2001,6.77%
24,2000,3.92%
25,1999,5.97%
26,1998,9.25%
27,1997,5.56%
28,1996,7.49%
29,1995,6.84%
30,1994,10.37%
31,1993,6.69%
32,1992,8.73%
33,1991,19.33%
34,1990,13.2%
35,1989,11.37%
36,1988,12.23%
37,1987,3.04%
38,1986,-0.33%
39,1985,23.22%
40,1984,46.67%
