,Year,Inflation rate compared to previous year
0,2025*,1%
1,2024*,1.05%
2,2023*,1.2%
3,2022*,1.4%
4,2021*,1.1%
5,2020*,0.21%
6,2019,0.07%
7,2018,1.09%
8,2017,1.01%
9,2016,0.6%
10,2015,-0.73%
11,2014,1.14%
12,2013,0.76%
13,2012,1.73%
14,2011,5.13%
15,2010,1.18%
16,2009,0.54%
17,2008,7.26%
18,2007,4.58%
19,2006,4.04%
20,2005,4.69%
21,2004,4.45%
22,2003,2.12%
23,2002,1.87%
24,2001,3.75%
25,2000,2.27%
26,1999,0.51%
27,1998,2.55%
28,1997,4.49%
29,1996,9.79%
30,1995,10.03%
31,1994,10.58%
32,1993,18.51%
33,1992,11.22%
34,1991,14.41%
35,1990,28.29%
36,1989,17.65%
37,1988,19.77%
38,1987,24.85%
39,1986,31.95%
40,1985,22.32%
