,Year,Gross domestic product in billion international dollars
0,2021*,78.38
1,2020*,74.65
2,2019*,76.94
3,2018,74.27
4,2017,71.11
5,2016,67.24
6,2015,64.31
7,2014,61.88
8,2013,58.22
9,2012,54.28
10,2011,51.34
11,2010,49.31
12,2009,46.72
13,2008,45.22
14,2007,41.75
15,2006,37.54
16,2005,34.23
17,2004,31.09
18,2003,28.3
19,2002,26.14
20,2001,24.9
21,2000,23.77
22,1999,21.72
23,1998,20.21
24,1997,19.06
25,1996,18.31
26,1995,17.41
27,1994,16.73
28,1993,15.87
29,1992,14.41
30,1991,13.15
31,1990,12.44
32,1989,11.58
33,1988,11.03
34,1987,10.06
35,1986,9.94
36,1985,9.7
37,1984,9.49
