,Movie,Revenue in million U.S. dollars
0,Avengers: Endgame,2797.8
1,Avatar,2790.44
2,Titanic,2195.17
3,Star Wars: Episode VII - The Force Awakens,2068.45
4,Avengers: Infinity War,2048.36
5,Jurassic World,1670.4
6,The Lion King,1657.14
7,The Avengers,1518.82
8,Furious 7,1515.25
9,Frozen II,1450.03
10,Avengers: Age of Ultron,1402.81
11,Black Panther,1347.46
12,Harry Potter and the Deathly Hallows: Part 2,1342.22
13,Star Wars: Episode VIII - The Last Jedi,1332.7
14,Jurassic World: Fallen Kingdom,1310.46
15,Frozen,1280.8
16,Beauty and the Beast,1264.06
17,Incredibles 2,1242.81
18,The Fate of the Furious,1236.01
19,Iron Man 3,1214.81
