,Year,Number of awards
0,Universal,5
1,Miramax,4
2,Warner Bros,4
3,DreamWorks,3
4,Paramount,3
5,Fox Searchlight,3
6,Malpaso,2
7,20th Century Fox,2
8,Regency Enterprises,2
9,Orion,2
10,TIG Productions,1
11,"Summit Entertainment,",1
12,Studio 37,1
13,Storyline Entertainment,1
14,Smoke House Pictures,1
15,"See-Saw Films,",1
16,Scott Free Productions,1
17,Rocklin/Faust,1
18,River Road Entertainment,1
19,Tiger Moth Productions,1
20,Producer Circle Co,1
21,Plan B Pictures,1
22,Plan B Entertainment,2
23,Participant Media,1
24,Paramount Vantage,1
25,ApolloProScreen,1
26,La Classe Américaine,1
27,Open Road,1
28,JD Prod,1
29,New Line Cinema,1
30,New Regency,1
31,UK Film Council,1
32,Mike Zoss Productions,1
33,Initial Entertainment Group,1
34,Lionsgate,1
35,Lightstorm Entertainment,1
36,Lakeshore Entertainment,1
37,La Petite Reine,1
38,Icon,1
39,Kingsgate Films,1
40,Jouror Productions,1
41,Jinks/Cohen Co,1
42,France 3 Cinema,1
43,First Look Media,1
44,Imagine Entertainment,1
45,Bedlam Productions,1
46,Harris Company,1
47,GK Films,1
48,First Light Productions,1
49,Film4,1
50,Film4 Productions,1
51,BlackFriar's Bridge,1
52,Celador,1
53,Bedford Falls Company,1
54,U Film,1
55,Vertigo Entertainment,1
56,Anonymous Content,1
57,Amblin Entertainment,1
58,Voltage Pictures,1
59,WingNut Films,1
60,Wild Bunch,1
61,Momentum Pictures,1
62,ARP Sélection,1
63,Worldview Entertainment,1
64,A24,1
65,Pastel Productions,1
