,Year,GDP per capita in U.S. dollars
0,2025*,10105.62
1,2024*,10035.45
2,2023*,9927.79
3,2022*,9537.4
4,2021*,9095.1
5,2020*,8433.04
6,2019,9890.31
7,2018,11624.89
8,2017,14618.33
9,2016,12772.87
10,2015,14895.32
11,2014,13208.83
12,2013,14488.83
13,2012,13889.79
14,2011,12787.81
15,2010,10412.95
16,2009,8337.81
17,2008,9146.79
18,2007,7315.73
19,2006,5976.08
20,2005,5163.55
21,2004,4314.4
22,2003,3648.06
23,2002,2898.29
24,2001,7851.66
25,2000,8386.59
26,1999,8452.88
27,1998,9005.38
28,1997,8918.83
29,1996,8385.15
30,1995,8053.12
31,1994,8125.91
32,1993,7558.5
33,1992,7420.32
34,1991,6233.39
35,1990,4709.66
36,1989,2779.87
37,1988,4386.53
38,1987,3790.75
39,1986,3739.41
40,1985,3149.68
