,Book Name,Number of languages
0,Elias Lönnrot - Kalevala,55
1,Mika Waltari - Sinuhe Egyptiläinen (Sinuhe the Egyptian),40
2,Sofi Oksanen - Puhdistus (Purge),38
3,Aleksis Kivi -Seitsemän veljestä (Seven Brothers),34
4,Arto Paasilinna - Jäniksen vuosi (The Year of the Hare),29
5,Tove Jansson - Sommarboken (The Summer Book),27
6,Sofi Oksanen - Kun kyyhkyset katosivat (When the Doves Disappeared),26
7,Arto Paasilinna - Ulvova mylläri (The Howling Miller),26
8,Frans Emil Sillanpää - Nuorena nukkunut (Fallen Asleep While Young),25
9,Väinö Linna - Tuntematon sotilas (The Unknown Soldier),24
