,Month,Number of days
0,Sep 2020,10.2
1,Aug 2020,13.8
2,Jul 2020,14.5
3,Jun 2020,15.6
4,May 2020,5.3
5,Apr 2020,5.8
6,Mar 2020,11.8
7,Feb 2020,21.5
8,Jan 2020,14.9
9,Dec 2019,17.6
10,Nov 2019,17.5
11,Oct 2019,17.4
12,Sep 2019,15.4
13,Aug 2019,15.7
14,Jul 2019,11.0
15,Jun 2019,14.2
16,May 2019,10.8
17,Apr 2019,8.0
18,Mar 2019,16.2
19,Feb 2019,10.5
20,Jan 2019,11.0
21,Dec 2018,15.9
22,Nov 2018,14.7
23,Oct 2018,11.9
24,Sep 2018,12.8
25,Aug 2018,13.4
26,Jul 2018,7.8
27,Jun 2018,4.9
28,May 2018,7.8
29,Apr 2018,13.6
30,Mar 2018,16.7
31,Feb 2018,12.6
32,Jan 2018,18.4
33,Dec 2017,17.0
34,Nov 2017,15.4
35,Oct 2017,13.9
36,Sep 2017,18.1
37,Aug 2017,14.9
38,Jul 2017,14.9
39,Jun 2017,13.0
40,May 2017,9.8
41,Apr 2017,7.3
42,Mar 2017,14.5
43,Feb 2017,13.9
44,Jan 2017,12.3
45,Dec 2016,11.2
46,Nov 2016,12.8
47,Oct 2016,8.3
48,Sep 2016,13.6
49,Aug 2016,11.4
50,Jul 2016,13.1
51,Jun 2016,14.7
52,May 2016,9.4
53,Apr 2016,15.1
54,Mar 2016,12.0
55,Feb 2016,13.8
56,Jan '16,20.7
57,Dec 2015,22.2
58,Nov 2015,20.7
59,Oct 2015,10.1
60,Sep 2015,8.5
61,Aug 2015,14.5
62,Jul 2015,16.2
63,Jun 2015,9.2
64,May 2015,15.5
65,Apr 2015,8.7
66,Mar 2015,12.8
67,Feb 2015,11.1
68,Jan 2015,18.7
