,Year,GDP per capita in U.S. dollars
0,2025*,49091.89
1,2024*,47693.47
2,2023*,46252.61
3,2022*,44805.97
4,2021*,43439.38
5,2020*,41559.51
6,2019,43603.01
7,2018,41720.58
8,2017,40491.33
9,2016,37293.84
10,2015,35828.17
11,2014,37695.56
12,2013,36359.93
13,2012,32556.96
14,2011,33713.12
15,2010,30670.34
16,2009,27726.36
17,2008,29557.07
18,2007,24907.92
19,2006,21836.34
20,2005,20559.21
21,2004,19885.35
22,2003,18963.27
23,2002,18433.05
24,2001,20302.39
25,2000,21038.05
26,1999,19127.56
27,1998,19416.23
28,1997,19682.85
29,1996,19334.86
30,1995,18088.17
31,1994,15641.5
32,1993,14055.78
33,1992,14354.76
34,1991,13306.31
35,1990,12457.36
36,1989,10888.82
37,1988,10886.15
38,1987,8934.32
39,1986,7602.2
40,1985,6271.23
