,Year,Inflation rate compared to previous year
0,2025*,3.31%
1,2024*,3.31%
2,2023*,3.31%
3,2022*,3.31%
4,2021*,3.16%
5,2020*,2.91%
6,2019*,2.76%
7,2018,3.98%
8,2017,3.6%
9,2016,4.09%
10,2015,3.13%
11,2014,5.03%
12,2013,2.68%
13,2012,3.68%
14,2011,8.25%
15,2010,4.64%
16,2009,2.59%
17,2008,10.16%
18,2007,8.13%
19,2006,9.6%
20,2005,6.79%
21,2004,4.33%
22,2003,12.23%
23,2002,10.51%
24,2001,7.27%
25,2000,8.98%
26,1999,6.75%
27,1998,11.55%
28,1997,6.95%
29,1996,9.8%
30,1995,13.39%
31,1994,20.6%
32,1993,18.28%
33,1992,15.11%
34,1991,24.28%
35,1990,38.16%
36,1989,25.59%
37,1988,22.59%
38,1987,21.66%
39,1986,31.7%
40,1985,24.85%
