,Year,Number of recipients
0,2015,12948
1,2014,14946
2,2013,16958
3,2012,19490
4,2011,21944
5,2010,25293
6,2009,28558
7,2008,32411
8,2007,36231
9,2006,40018
10,2005,46609
11,2004,52362
12,2003,64237
13,2002,71584
14,2001,79518
15,2000,89355
16,1999,98977
17,1998,109271
18,1997,119233
19,1996,131143
20,1995,143011
21,1994,155172
22,1993,168365
23,1992,182396
24,1991,196419
25,1990,210678
26,1989,225764
27,1988,241626
28,1987,258988
29,1986,275783
30,1985,294846
31,1984,313822
32,1983,333358
33,1982,354569
34,1981,376505
35,1980,399477
36,1979,418948
37,1978,439970
38,1977,457399
39,1976,469655
40,1975,482311
41,1974,487216
42,1973,461491
43,1972,298963
44,1971,231729
45,1970,111976
