,Country,Concentration in micrograms per cubic meter
0,Suriname,25.0
1,Peru,25.0
2,Guatemala,24.0
3,Trinidad and Tobago,24.0
4,El Salvador,24.0
5,Barbados,23.0
6,Belize,23.0
7,Grenada,23.0
8,Saint Vincent and the Grenadines,22.0
9,Saint Lucia,22.0
10,Guyana,22.0
11,Bolivia,22.0
12,Mexico,21.0
13,Chile,21.0
14,Honduras,21.0
15,Cuba,20.0
16,Dominica,19.0
17,Antigua and Barbuda,19.0
18,Nicaragua,18.0
19,Bahamas,17.0
20,Venezuela,17.0
21,Colombia,17.0
22,Costa Rica,16.0
23,Ecuador,15.0
24,Haiti,15.0
25,Dominican Republic,14.0
26,Brazil,13.0
27,Jamaica,13.0
28,Argentina,13.0
29,Paraguay,12.0
30,Panama,11.0
31,Uruguay,9.3
32,Puerto Rico,8.3
