,Year,Inflation rate compared to previous year
0,2024*,5%
1,2023*,4.48%
2,2022*,4.29%
3,2021*,3.97%
4,2020*,3.09%
5,2019*,1.73%
6,2018,2.27%
7,2017,2.82%
8,2016,3.63%
9,2015,4.06%
10,2014,5.77%
11,2013,5.74%
12,2012,4.52%
13,2011,9.88%
14,2010,2.5%
15,2009,3.35%
16,2008,14.01%
17,2007,6.66%
18,2006,4.3%
19,2005,5.4%
20,2004,4.44%
21,2003,3.34%
22,2002,0.92%
23,2001,1.6%
24,2000,4.6%
25,1999,2.16%
26,1998,7.67%
27,1997,4.71%
28,1996,12.43%
29,1995,10.19%
30,1994,7.88%
31,1993,8.53%
32,1992,12.96%
33,1991,21.44%
34,1990,17.12%
35,1989,15.17%
36,1988,16%
37,1987,14.58%
38,1986,273.35%
39,1985,"11,749.63%"
40,1984,"1,281.35%"
