,Year,GDP in billion international dollars
0,2021*,808.81
1,2020*,762.83
2,2019,804.69
3,2018,789.69
4,2017,764.89
5,2016,740.28
6,2015,729.78
7,2014,713.74
8,2013,688.07
9,2012,659.8
10,2011,633.37
11,2010,600.68
12,2009,576.25
13,2008,580.82
14,2007,552.12
15,2006,510.32
16,2005,469.05
17,2004,432.08
18,2003,402.42
19,2002,383.77
20,2001,364.42
21,2000,347.11
22,1999,325.98
23,1998,313.93
24,1997,308.84
25,1996,295.78
26,1995,278.46
27,1994,264.51
28,1993,250.86
29,1992,242.07
30,1991,241.84
31,1990,236.34
32,1989,228.54
33,1988,214.77
34,1987,199.1
35,1986,190.29
36,1985,186.5
37,1984,183.0
