,Year,Inflation rate compared to previous year
0,2025*,1.96%
1,2024*,2.18%
2,2023*,2.45%
3,2022*,2.88%
4,2021*,1.81%
5,2020*,-2.17%
6,2019,-0.55%
7,2018,0.18%
8,2017,0.46%
9,2016,2.66%
10,2015,0.96%
11,2014,4.2%
12,2013,3.2%
13,2012,1.79%
14,2011,2.04%
15,2010,-2.41%
16,2009,-4.88%
17,2008,15.12%
18,2007,13.67%
19,2006,11.79%
20,2005,8.88%
21,2004,6.77%
22,2003,2.25%
23,2002,0.17%
24,2001,1.59%
25,2000,1.61%
26,1999,2.19%
27,1998,2.82%
28,1997,2.7%
29,1996,7.03%
30,1995,2.98%
31,1994,1.51%
32,1993,-0.86%
33,1992,3.09%
34,1991,4.38%
35,1990,3.01%
36,1989,3.3%
37,1988,4.82%
38,1987,4.49%
39,1986,1.9%
40,1985,1.13%
