,Year,Gross domestic product in billion U.S. dollars
0,2024,10.48
1,2023,9.77
2,2022,9.12
3,2021,8.54
4,2020,8.05
5,2019,7.52
6,2018,6.9
7,2017,6.23
8,2016,5.49
9,2015,6.4
10,2014,6.06
11,2013,5.43
12,2012,5.98
13,2011,7.98
14,2010,6.96
15,2009,6.2
16,2008,5.32
17,2007,4.43
18,2006,4.0
19,2005,3.66
20,2004,3.48
21,2003,3.21
22,2002,3.5
23,2001,2.97
24,2000,3.02
25,1999,3.08
26,1998,3.04
27,1997,4.62
28,1996,3.96
29,1995,2.42
30,1994,2.08
31,1993,3.59
32,1992,3.12
33,1991,3.82
34,1990,3.0
35,1989,2.64
36,1988,2.31
37,1987,2.01
38,1986,2.05
39,1985,1.96
40,1984,2.1
