,State,Number of hate groups
0,California,88
1,Florida,67
2,Texas,63
3,New York,44
4,Tennessee,38
5,Georgia,38
6,Virginia,36
7,Pennsylvania,36
8,North Carolina,32
9,Ohio,31
10,Washington,30
11,Michigan,27
12,Illinois,26
13,Colorado,22
14,Louisiana,21
15,Arizona,21
16,New Jersey,21
17,Missouri,21
18,Indiana,20
19,Maryland,20
20,District of Columbia,19
21,South Carolina,17
22,Alabama,16
23,Wisconsin,15
24,Kentucky,15
25,Arkansas,15
26,Massachusetts,15
27,Oregon,15
28,Mississippi,12
29,Minnesota,12
30,Oklahoma,10
31,Nevada,9
32,Connecticut,8
33,Idaho,7
34,Nebraska,6
35,Montana,6
36,Utah,5
37,Hawaii,4
38,New Hampshire,4
39,West Virginia,4
40,South Dakota,4
41,Kansas,3
42,Iowa,3
43,Delaware,3
44,Maine,2
45,Vermont,2
46,North Dakota,2
47,Alaska,2
48,Rhode Island,1
49,New Mexico,1
50,Wyoming,1
