,Country,Disapprove,Approve
0,Venezuela,92%,4%
1,Jordan,90%,5%
2,Greece,89%,8%
3,Nicaragua,88%,9%
4,Egypt,87%,4%
5,Brazil,87%,7%
6,Argentina,87%,5%
7,Spain,86%,12%
8,Senegal,86%,11%
9,Colombia,86%,9%
10,Palestinian ter.,84%,7%
11,Turkey,83%,7%
12,Japan,82%,12%
13,Peru,81%,10%
14,Mexico,80%,14%
15,Malaysia,80%,6%
16,Thailand,79%,12%
17,Vietnam,78%,12%
18,Russia,78%,7%
19,Tunisia,77%,17%
20,South Korea,75%,23%
21,Italy,74%,18%
22,Indonesia,74%,10%
23,El Salvador,73%,11%
24,France,72%,27%
25,Lebanon,71%,23%
26,Bangladesh,70%,22%
27,Chile,68%,15%
28,Tanzania,67%,27%
29,Philippines,67%,24%
30,Germany,67%,30%
31,Ukraine,66%,11%
32,Pakistan,66%,3%
33,United Kingdom,59%,33%
34,Uganda,56%,36%
35,Poland,54%,32%
36,China,52%,35%
37,Ghana,47%,29%
38,South Africa,46%,27%
39,United States,41%,52%
40,Nigeria,39%,42%
41,Kenya,38%,53%
42,India,36%,28%
43,Israel,27%,65%
