,State,"Number of cases per 100,000 people"
0,North Dakota,12269
1,South Dakota,11425
2,Iowa,9138
3,Wisconsin,9135
4,Tennessee,9044
5,Utah,9013
6,Rhode Island,8859
7,Nebraska,8842
8,Idaho,8105
9,Kansas,8002
10,Indiana,7918
11,Arkansas,7916
12,Wyoming,7874
13,Illinois,7826
14,Montana,7801
15,Arizona,7796
16,Oklahoma,7791
17,Alabama,7742
18,Nevada,7644
19,Mississippi,7575
20,Minnesota,7541
21,New Mexico,7082
22,Louisiana,7027
23,Missouri,6793
24,Georgia,6651
25,Alaska,6638
26,Florida,6482
27,Texas,6417
28,South Carolina,6372
29,California,6328
30,Ohio,6288
31,Kentucky,6286
32,Delaware,6275
33,Colorado,6024
34,Massachusetts,5763
35,New Jersey,5625
36,Connecticut,5525
37,North Carolina,5486
38,Michigan,5474
39,New York,5389
40,Pennsylvania,5304
41,West Virginia,5198
42,Maryland,4793
43,Virginia,4357
44,District of Columbia,4274
45,New Hampshire,3530
46,Washington,3398
47,Oregon,2833
48,Puerto Rico,2493
49,Maine,1976
50,Hawaii,1588
51,Vermont,1288
