,Month,Number of COVID-19 tests per day
0,Nov 26,1150227
1,Nov 25,1700638
2,Nov 24,1790514
3,Nov 23,1757307
4,Nov 22,1726449
5,Nov 21,1977400
6,Nov 20,1917112
7,Nov 19,1817267
8,Nov 18,1541478
9,Nov 17,1497259
10,Nov 16,1478180
11,Nov 15,1614984
12,Nov 14,1661289
13,Nov 13,1688316
14,Nov 12,1479595
15,Nov 11,1412859
16,Nov 10,1246063
17,Nov 09,1477040
18,Nov 08,1238119
19,Nov 07,1520813
20,Nov 06,1533015
21,Nov 05,1538114
22,Nov 04,1218011
23,Nov 03,1124093
24,Nov 02,1323405
25,Nov 01,1067841
26,Oct 31,1383750
27,Oct 30,1360831
28,Oct 29,1332727
29,Oct 28,1092103
30,Oct 27,1066180
31,Oct 26,1205617
32,Oct 25,1188411
33,Oct 24,1329390
34,Oct 23,1375768
35,Oct 22,1222596
36,Oct 21,943999
37,Oct 20,948226
38,Oct 19,1166571
39,Oct 18,1039133
40,Oct 17,1274880
41,Oct 16,1228730
42,Oct 15,1111422
43,Oct 14,1038191
44,Oct 13,1050029
45,Oct 12,1054264
46,Oct 11,1077760
47,Oct 10,1251417
48,Oct 9,1201954
49,Oct 8,1154808
50,Oct 7,974445
51,Oct 6,908255
52,Oct 5,1010275
53,Oct 4,1018754
54,Oct 3,1085033
55,Oct 2,1241303
56,Oct 1,1003447
57,Sep 30,906454
58,Sep 29,917267
59,Sep 28,1158944
60,Sep 27,904586
61,Sep 26,1123018
62,Sep 25,1115587
63,Sep 24,1040558
64,Sep 23,1011113
65,Sep 22,855141
66,Sep 21,771441
67,Sep 20,977416
68,Sep 19,1176196
69,Sep 18,1093379
70,Sep 17,969801
71,Sep 16,827282
72,Sep 15,813493
73,Sep 14,833577
74,Sep 13,772244
75,Sep 12,997251
76,Sep 11,923977
77,Sep 10,781811
78,Sep 09,703520
79,Sep 08,578262
80,Sep 07,663892
81,Sep 06,827831
82,Sep 05,966470
83,Sep 04,1043217
84,Sep 03,879674
85,Sep 02,755651
86,Sep 01,814998
87,Aug 31,734853
88,Aug 30,826554
89,Aug 29,890507
90,Aug 28,906788
91,Aug 27,861664
92,Aug 26,736753
93,Aug 25,712640
94,Aug 24,722435
95,Aug 23,716067
96,Aug 22,878382
97,Aug 21,869157
98,Aug 20,812429
99,Aug 19,785143
100,Aug 18,724493
101,Aug 17,730438
102,Aug 16,853527
103,Aug 15,865314
104,Aug 14,970765
105,Aug 13,1007003
106,Aug 12,747682
107,Aug 11,801096
108,Aug 10,797629
109,Aug 09,783245
110,Aug 08,746041
111,Aug 07,897535
112,Aug 06,837850
113,Aug 05,787153
114,Aug 04,772644
115,Aug 03,799410
116,Aug 02,749949
117,Aug 01,825202
118,Jul 31,978337
119,Jul 30,890182
120,Jul 29,930567
121,Jul 28,828127
122,Jul 27,822549
123,Jul 26,891176
124,Jul 25,875376
125,Jul 24,1001308
126,Jul 23,910616
127,Jul 22,882679
128,Jul 21,809022
129,Jul 20,760467
130,Jul 19,837850
131,Jul 18,842940
132,Jul 17,910041
133,Jul 16,899279
134,Jul 15,846529
135,Jul 14,811458
136,Jul 13,757409
137,Jul 12,823613
138,Jul 11,757723
139,Jul 10,888155
140,Jul 09,768562
141,Jul 08,706533
142,Jul 07,683008
143,Jul 06,642109
144,Jul 05,686536
145,Jul 04,658688
146,Jul 03,730139
147,Jul 02,705726
148,Jul 01,667484
149,Jun 30,663509
150,Jun 29,675474
151,Jun 28,606879
152,Jun 27,631434
153,Jun 26,741511
154,Jun 25,648713
155,Jun 24,507779
156,Jun 23,645169
157,Jun 22,496660
158,Jun 21,522810
159,Jun 20,582562
160,Jun 19,608555
161,Jun 18,545786
162,Jun 17,522295
163,Jun 16,485120
164,Jun 15,445605
165,Jun 14,481823
166,Jun 13,524731
167,Jun 12,591430
168,Jun 11,505859
169,Jun 10,448080
170,Jun 09,444804
171,Jun 08,410812
172,Jun 07,424767
173,Jun 06,559329
174,Jun 05,589226
175,Jun 04,494461
176,Jun 03,471783
177,Jun 02,436718
178,Jun 01,418057
179,May 31,401959
180,May 30,453143
181,May 29,508622
182,May 28,462264
183,May 27,405809
184,May 26,312291
185,May 25,433934
186,May 24,367047
187,May 23,448155
188,May 22,418311
189,May 21,498778
190,May 20,447500
191,May 19,406936
192,May 18,367519
193,May 17,366347
194,May 16,364362
195,May 15,407671
196,May 14,384318
197,May 13,340132
198,May 12,327970
199,May 11,385637
200,May 10,266047
201,May 9,309749
202,May 8,327310
203,May 7,305332
204,May 6,281507
205,May 5,286955
206,May 4,234244
207,May 3,228529
208,May 2,263858
209,May 1,297312
210,Apr 30,259282
211,Apr 29,246300
212,Apr 28,218826
213,Apr 27,191458
214,Apr 26,207095
215,Apr 25,272152
216,Apr 24,241844
217,Apr 23,208032
218,Apr 22,342616
219,Apr 21,164758
220,Apr 20,147974
221,Apr 19,156512
222,Apr 18,151844
223,Apr 17,165613
224,Apr 16,175403
225,Apr 15,145527
226,Apr 14,160813
227,Apr 13,133090
228,Apr 12,137312
229,Apr 11,141764
230,Apr 10,158827
231,Apr 09,172632
232,Apr 08,160218
233,Apr 07,150212
234,Apr 06,151569
235,Apr 05,122117
236,Apr 04,228323
237,Apr 03,135240
238,Apr 02,122780
239,Apr 01,116131
240,Mar 31,112109
241,Mar 30,115177
242,Mar 29,86346
243,Mar 28,89694
244,Mar 27,109278
245,Mar 26,110351
246,Mar 25,87350
247,Mar 24,70901
248,Mar 23,58144
249,Mar 22,49960
250,Mar 21,49325
251,Mar 20,43068
252,Mar 19,32635
253,Mar 18,31144
254,Mar 17,22554
255,Mar 16,15214
256,Mar 15,7673
257,Mar 14,6674
258,Mar 13,7595
259,Mar 12,5754
260,Mar 11,3967
261,Mar 10,2680
262,Mar 9,1853
263,Mar 8,965
264,Mar 7,2563
265,Mar 6,2000
266,Mar 3,247
267,Mar 2,195
268,Mar 1,83
