,automobile manufacturer,Number of new registrations
0,VW,667518
1,Mercedes,339185
2,Ford,279719
3,BMW,279243
4,Audi,267195
5,Opel,215864
6,Skoda,208171
7,Seat,138670
8,Renault,131138
9,Hyundai,129508
10,Fiat,89005
11,Toyota,84498
12,Dacia,80035
13,Peugeot,72709
14,Mazda,71630
15,Kia,69608
16,Citroen,58840
17,Volvo,53357
18,Mitsubishi,52148
19,Mini,50019
20,Smart,49138
21,Suzuki,40616
22,Nissan,39500
23,Porsche,31433
24,Sonstige,20193
25,Land Rover,17348
26,Jeep,16563
27,Honda,15676
28,Tesla,10711
29,Jaguar,8703
30,Subaru,5868
31,Alfa Romeo,4146
32,Lexus,3587
33,Ssangyong,2870
34,DS,2846
