,Month,Number of new cases
0,"Nov 29, 2020",8
1,"Nov 28, 2020",132
2,"Nov 27, 2020",398
3,"Nov 26, 2020",432
4,"Nov 25, 2020",485
5,"Nov 24, 2020",382
6,"Nov 23, 2020",566
7,"Nov 22, 2020",260
8,"Nov 21, 2020",278
9,"Nov 20, 2020",495
10,"Nov 19, 2020",538
11,"Nov 18, 2020",615
12,"Nov 17, 2020",587
13,"Nov 16, 2020",659
14,"Nov 15, 2020",384
15,"Nov 14, 2020",360
16,"Nov 13, 2020",663
17,"Nov 12, 2020",608
18,"Nov 11, 2020",629
19,"Nov 10, 2020",576
20,"Nov 9, 2020",659
21,"Nov 8, 2020",360
22,"Nov 7, 2020",369
23,"Nov 6, 2020",618
24,"Nov 5, 2020",553
25,"Nov 4, 2020",655
26,"Nov 3, 2020",642
27,"Nov 2, 2020",634
28,"Nov 1, 2020",309
29,"Oct 31, 2020",378
30,"Oct 30, 2020",603
31,"Oct 29, 2020",422
32,"Oct 28, 2020",521
33,"Oct 27, 2020",378
34,"Oct 26, 2020",457
35,"Oct 25, 2020",189
36,"Oct 24, 2020",229
37,"Oct 23, 2020",362
38,"Oct 22, 2020",268
39,"Oct 21, 2020",225
40,"Oct 20, 2020",180
41,"Oct 19, 2020",208
42,"Oct 18, 2020",91
43,"Oct 17, 2020",81
44,"Oct 16, 2020",133
45,"Oct 15, 2020",141
46,"Oct 14, 2020",162
47,"Oct 13, 2020",155
48,"Oct 12, 2020",165
49,"Oct 11, 2020",79
50,"Oct 10, 2020",65
51,"Oct 9, 2020",141
52,"Oct 8, 2020",168
53,"Oct 7, 2020",200
54,"Oct 6, 2020",198
55,"Oct 5, 2020",207
56,"Oct 4, 2020",88
57,"Oct 3, 2020",110
58,"Oct 2, 2020",134
59,"Oct 1, 2020",131
60,"Sep 30, 2020",118
61,"Sep 29, 2020",110
62,"Sep 28, 2020",124
63,"Sep 27, 2020",54
64,"Sep 26, 2020",62
65,"Sep 25, 2020",130
66,"Sep 24, 2020",133
67,"Sep 23, 2020",143
68,"Sep 22, 2020",101
69,"Sep 21, 2020",163
70,"Sep 20, 2020",77
71,"Sep 19, 2020",58
72,"Sep 18, 2020",94
73,"Sep 17, 2020",116
74,"Sep 16, 2020",137
75,"Sep 15, 2020",132
76,"Sep 14, 2020",103
77,"Sep 13, 2020",78
78,"Sep 12, 2020",67
79,"Sep 11, 2020",118
80,"Sep 10, 2020",132
81,"Sep 9, 2020",124
82,"Sep 8, 2020",113
83,"Sep 7, 2020",132
84,"Sep 6, 2020",60
85,"Sep 5, 2020",73
86,"Sep 4, 2020",119
87,"Sep 3, 2020",126
88,"Sep 2, 2020",101
89,"Sep 1, 2020",115
90,"Aug 31, 2020",148
91,"Aug 30, 2020",51
92,"Aug 29, 2020",41
93,"Aug 28, 2020",84
94,"Aug 27, 2020",51
95,"Aug 26, 2020",40
96,"Aug 25, 2020",42
97,"Aug 24, 2020",67
98,"Aug 23, 2020",19
99,"Aug 22, 2020",45
100,"Aug 21, 2020",53
101,"Aug 20, 2020",50
102,"Aug 19, 2020",60
103,"Aug 18, 2020",57
104,"Aug 17, 2020",74
105,"Aug 16, 2020",27
106,"Aug 15, 2020",43
107,"Aug 14, 2020",76
108,"Aug 13, 2020",54
109,"Aug 12, 2020",63
110,"Aug 11, 2020",42
111,"Aug 10, 2020",63
112,"Aug 9, 2020",34
113,"Aug 8, 2020",35
114,"Aug 7, 2020",79
115,"Aug 6, 2020",78
116,"Aug 5, 2020",66
117,"Aug 4, 2020",40
118,"Aug 3, 2020",38
119,"Aug 2, 2020",13
120,"Aug 1, 2020",13
121,"Jul 31, 2020",72
122,"Jul 30, 2020",23
