,Year,Number of new cases
0,01/04/21,23351
1,01/03/21,24150
2,01/02/21,26301
3,01/01/21,27039
4,12/31/20,27747
5,12/30/20,26513
6,12/29/20,27002
7,12/28/20,27787
8,12/27/20,28284
9,12/26/20,29258
10,12/25/20,29018
11,12/24/20,29935
12,12/23/20,27250
13,12/22/20,28776
14,12/21/20,29350
15,12/20/20,28948
16,12/19/20,28209
17,12/18/20,28552
18,12/17/20,28214
19,12/16/20,26509
20,12/15/20,26689
21,12/14/20,27328
22,12/13/20,28080
23,12/12/20,28137
24,12/11/20,28585
25,12/10/20,27927
26,12/09/20,26190
27,12/08/20,26097
28,12/07/20,28142
29,12/06/20,29039
30,12/05/20,28782
31,12/04/20,27403
32,12/03/20,28145
33,12/02/20,25345
34,12/01/20,26402
35,11/30/20,26338
36,11/29/20,26683
37,11/28/20,27100
38,11/27/20,27543
39,11/26/20,25487
40,11/25/20,23675
41,11/24/20,24326
42,11/23/20,25173
43,11/22/20,24581
44,11/21/20,24822
45,11/20/20,24318
46,11/19/20,23610
47,11/18/20,20985
48,11/17/20,22410
49,11/16/20,22778
50,11/15/20,22572
51,11/14/20,22702
52,11/13/20,21983
53,11/12/20,21608
54,11/11/20,19851
55,11/10/20,20977
56,11/09/20,21798
57,11/08/20,20498
58,11/07/20,20396
59,11/06/20,20582
60,11/05/20,19404
61,11/04/20,19768
62,11/03/20,18648
63,11/02/20,18257
64,11/01/20,18665
65,10/31/20,18140
66,10/30/20,18283
67,10/29/20,17717
68,10/28/20,16202
69,10/27/20,16550
70,10/26/20,17347
71,10/25/20,16710
72,10/24/20,16521
73,10/23/20,17340
74,10/22/20,15971
75,10/21/20,15700
76,10/20/20,16319
77,10/19/20,15982
78,10/18/20,15099
79,10/17/20,14922
80,10/16/20,15150
81,10/15/20,13754
82,10/14/20,14231
83,10/13/20,13868
84,10/12/20,13592
85,10/11/20,13634
86,10/10/20,12846
87,10/09/20,12126
88,10/08/20,11493
89,10/07/20,11115
90,10/06/20,11615
91,10/05/20,10888
92,10/04/20,10499
93,10/03/20,9859
94,10/02/20,9412
95,10/01/20,8945
96,09/30/20,8481
97,09/29/20,8232
98,09/28/20,8135
99,09/27/20,7867
100,09/26/20,7523
101,09/25/20,7212
102,09/24/20,6595
103,09/23/20,6431
104,09/22/20,6215
105,09/21/20,6196
106,09/20/20,6148
107,09/19/20,6065
108,09/18/20,5905
109,09/17/20,5762
110,09/16/20,5670
111,09/15/20,5529
112,09/14/20,5509
113,09/13/20,5549
114,09/12/20,5488
115,09/11/20,5504
116,09/10/20,5363
117,09/09/20,5218
118,09/08/20,5099
119,09/07/20,5185
120,09/06/20,5195
121,09/05/20,5205
122,09/04/20,5110
123,09/03/20,4995
124,09/02/20,4952
125,09/01/20,4729
126,08/31/20,4993
127,08/30/20,4980
128,08/29/20,4941
129,08/28/20,4829
130,08/27/20,4711
131,08/26/20,4676
132,08/25/20,4696
133,08/24/20,4744
134,08/23/20,4852
135,08/22/20,4921
136,08/21/20,4870
137,08/20/20,4785
138,08/19/20,4828
139,08/18/20,4748
140,08/17/20,4892
141,08/16/20,4969
142,08/15/20,5061
143,08/14/20,5065
144,08/13/20,5057
145,08/12/20,5102
146,08/11/20,4945
147,08/10/20,5118
148,08/09/20,5189
149,08/08/20,5212
150,08/07/20,5241
151,08/06/20,5267
152,08/05/20,5204
153,08/04/20,5159
154,08/03/20,5394
155,08/02/20,5427
156,08/01/20,5462
157,07/31/20,5482
158,07/30/20,5509
159,07/29/20,5475
160,07/28/20,5395
161,07/27/20,5635
162,07/26/20,5765
163,07/25/20,5871
164,07/24/20,5811
165,07/23/20,5848
166,07/22/20,5862
167,07/21/20,5842
168,07/20/20,5940
169,07/19/20,6109
170,07/18/20,6234
171,07/17/20,6406
172,07/16/20,6428
173,07/15/20,6422
174,07/14/20,6248
175,07/13/20,6537
176,07/12/20,6615
177,07/11/20,6611
178,07/10/20,6635
179,07/09/20,6509
180,07/08/20,6562
181,07/07/20,6368
182,07/06/20,6611
183,07/05/20,6736
184,07/04/20,6632
185,07/03/20,6718
186,07/02/20,6760
187,07/01/20,6556
188,06/30/20,6693
189,06/29/20,6719
190,06/28/20,6791
191,06/27/20,6852
192,06/26/20,6800
193,06/25/20,7113
194,06/24/20,7176
195,06/23/20,7425
196,06/22/20,7600
197,06/21/20,7728
198,06/20/20,7889
199,06/19/20,7972
200,06/18/20,7790
201,06/17/20,7843
202,06/16/20,8248
203,06/15/20,8246
204,06/14/20,8835
205,06/13/20,8706
206,06/12/20,8987
207,06/11/20,8779
208,06/10/20,8404
209,06/09/20,8595
210,06/08/20,8985
211,06/07/20,8984
212,06/06/20,8855
213,06/05/20,8726
214,06/04/20,8831
215,06/03/20,8536
216,06/02/20,8863
217,06/01/20,9035
218,05/31/20,9268
219,05/30/20,8952
220,05/29/20,8572
221,05/28/20,8371
222,05/27/20,8338
223,05/26/20,8915
224,05/25/20,8946
225,05/24/20,8599
226,05/23/20,9434
227,05/22/20,8894
