,Year,GDP in billion U.S. dollars
0,2024*,3214.61
1,2023*,3093.66
2,2022*,2983.8
3,2021*,2876.23
4,2020*,2771.62
5,2019*,2707.07
6,2018,2780.15
7,2017,2591.78
8,2016,2472.28
9,2015,2439.44
10,2014,2856.7
11,2013,2811.96
12,2012,2685.31
13,2011,2864.03
14,2010,2647.54
15,2009,2697.04
16,2008,2932.22
17,2007,2660.9
18,2006,2320.53
19,2005,2199.68
20,2004,2117.96
21,2003,1843.65
22,2002,1498.91
23,2001,1377.41
24,2000,1365.97
25,1999,1494.57
26,1998,1505.18
27,1997,1454.56
28,1996,1606.04
29,1995,1602.13
30,1994,1396.65
31,1993,1324.24
32,1992,1404.39
33,1991,1273.59
34,1990,1272.43
35,1989,1026.18
36,1988,1020.88
37,1987,935.12
38,1986,772.84
39,1985,557.56
40,1984,532.34
