,Year,Inflation rate compared to previous year
0,2024*,2.34%
1,2023*,2.34%
2,2022*,2.34%
3,2021*,2.34%
4,2020*,1.8%
5,2019*,1.93%
6,2018,3.69%
7,2017,4.41%
8,2016,1.51%
9,2015,-1.11%
10,2014,1.77%
11,2013,1.81%
12,2012,4.53%
13,2011,9.43%
14,2010,5.82%
15,2009,3.65%
16,2008,8.11%
17,2007,4.03%
18,2006,7.31%
19,2005,6.07%
20,2004,1.43%
21,2003,1.58%
22,2002,0.17%
23,2001,2.8%
24,2000,2.44%
25,1999,1.56%
26,1998,-1.27%
27,1997,7.71%
28,1996,2.39%
29,1995,2.84%
30,1994,0.7%
31,1993,1.18%
32,1992,6%
33,1991,6.3%
34,1990,3.04%
35,1989,6.33%
36,1988,4.72%
37,1987,3.57%
38,1986,0.2%
39,1985,4.86%
40,1984,4.65%
