,Month,Exchange rate
0,Feb '20,1.06
1,Jan '20,1.07
2,Dec '19,1.09
3,Nov '19,1.1
4,Oct '19,1.1
5,Sep '19,1.08
6,Aug '19,1.09
7,Jul '19,1.1
8,Jun '19,1.11
9,May '19,1.12
10,Apr '19,1.14
11,Mar '19,1.12
12,Feb '19,1.13
13,Jan '19,1.14
14,Dec '18,1.13
15,Nov '18,1.13
16,Oct '18,1.14
17,Sep '18,1.13
18,Aug '18,1.13
19,Jul '18,1.16
20,Jun '18,1.16
21,May '18,1.15
22,Apr '18,1.2
23,Mar '18,1.18
24,Feb '18,1.15
25,Jan '18,1.16
26,Dec '17,1.17
27,Nov '17,1.17
28,Oct '17,1.16
29,Sep '17,1.15
30,Aug '17,1.14
31,Jul '17,1.14
32,Jun '17,1.09
33,May '17,1.09
34,Apr '17,1.08
35,Mar '17,1.07
36,Feb '17,1.06
37,Jan '17,1.07
38,Dec '16,1.08
39,Nov '16,1.08
40,Oct '16,1.09
41,Sep '16,1.09
42,Aug '16,1.1
43,Jul '16,1.08
44,Jun '16,1.09
45,May '16,1.1
46,Apr '16,1.1
47,Mar '16,1.09
48,Feb '16,1.09
49,Jan '16,1.11
50,Dec '15,1.08
51,Nov '15,1.09
52,Oct '15,1.09
53,Sep '15,1.09
54,Aug '15,1.08
55,Jul '15,1.06
56,Jun '15,1.04
57,May '15,1.03
58,Apr '15,1.05
59,Mar '15,1.05
60,Feb '15,1.06
61,Jan '15,1.05
62,Dec '14,1.2
63,Nov '14,1.2
64,Oct '14,1.21
65,Sep '14,1.21
66,Aug '14,1.21
67,Jul '14,1.22
68,Jun '14,1.22
69,May '14,1.22
70,Apr '14,1.22
71,Mar '14,1.22
72,Feb '14,1.22
73,Jan '14,1.22
