,Year,Inflation rate compared to previous year
0,2024*,5%
1,2023*,5%
2,2022*,5%
3,2021*,5%
4,2020*,4.5%
5,2019*,4.1%
6,2018,4.27%
7,2017,6.58%
8,2016,3.99%
9,2015,2.24%
10,2014,2.76%
11,2013,6.94%
12,2012,7.54%
13,2011,6.72%
14,2010,6.25%
15,2009,3.43%
16,2008,9.64%
17,2007,15.84%
18,2006,10.02%
19,2005,10.98%
20,2004,9.01%
21,2003,8.97%
22,2002,9.55%
23,2001,14.16%
24,2000,6.18%
25,1999,4.69%
26,1998,9.37%
27,1997,9.57%
28,1996,15.94%
29,1995,7.68%
30,1994,8.45%
31,1993,11.75%
32,1992,11.38%
33,1991,12.19%
34,1990,21.5%
35,1989,11.57%
36,1988,13.99%
37,1987,7.72%
38,1986,7.98%
39,1985,1.48%
40,1984,16.64%
