,Year,Inflation rate compared to previous year
0,2024*,5.5%
1,2023*,5.5%
2,2022*,5.51%
3,2021*,5.52%
4,2020*,5.5%
5,2019*,5.46%
6,2018,5.61%
7,2017,5.61%
8,2016,5.68%
9,2015,6.16%
10,2014,7.01%
11,2013,7.54%
12,2012,6.23%
13,2011,11.46%
14,2010,9.37%
15,2009,4.91%
16,2008,8.9%
17,2007,9.11%
18,2006,6.77%
19,2005,7.04%
20,2004,6.1%
21,2003,5.36%
22,2002,3.72%
23,2001,1.91%
24,2000,2.48%
25,1999,6.18%
26,1998,8.65%
27,1997,4.96%
28,1996,2.46%
29,1995,10.12%
30,1994,6.15%
31,1993,2.98%
32,1992,3.62%
33,1991,8.29%
34,1990,10.52%
35,1989,8.73%
36,1988,9.67%
37,1987,10.83%
38,1986,10.18%
39,1985,10.47%
40,1984,10.41%
