,Year,Public,Private
0,2028*,15.2,11.4
1,2027*,15.3,11.5
2,2026*,15.3,11.6
3,2025*,15.4,11.6
4,2024*,15.5,11.7
5,2023*,15.6,11.7
6,2022*,15.7,11.7
7,2021*,15.8,11.8
8,2020*,15.8,11.8
9,2019*,15.9,11.8
10,2018*,16.0,11.9
11,2017*,16.1,11.9
12,2016,16.0,11.9
13,2015,16.0,11.9
14,2014,16.1,12.1
15,2013,16.1,12.2
16,2012,16.0,13.1
17,2011,16.0,13.0
18,2010,16.0,13.0
19,2009,15.4,12.5
20,2008,15.3,12.8
21,2007,15.4,13.0
22,2006,15.6,13.2
23,2005,15.6,13.5
24,2004,15.8,13.7
25,2003,15.9,13.8
26,2002,15.9,14.1
27,2001,15.9,14.3
28,2000,16.0,14.5
29,1999,16.1,14.7
30,1998,16.4,15.0
31,1997,16.8,15.2
32,1996,17.1,15.5
33,1995,17.3,15.7
34,1994,17.3,16.2
35,1993,17.4,16.7
36,1992,17.4,16.1
37,1991,17.3,15.6
38,1990,17.2,15.6
39,1989,17.2,15.7
40,1988,17.3,15.2
41,1987,17.6,15.6
42,1986,17.7,15.7
43,1985,17.9,16.2
44,1984,18.1,16.8
45,1983,18.4,17.0
46,1982,18.6,17.2
47,1981,18.8,17.6
48,1980,18.7,17.7
49,1979,19.1,18.1
50,1978,19.3,18.7
51,1977,19.7,18.4
52,1976,20.2,19.3
53,1975,20.4,19.6
54,1974,20.8,20.4
55,1973,21.3,21.2
56,1972,21.7,21.6
57,1971,22.3,22.6
58,1970,22.3,23.0
59,1965,24.7,28.3
60,1960,25.8,30.7
61,1955,26.9,31.7
