,Industries,Share of responding businesses
0,"Media, communication or information (e.g., broadcasting, telecoms, computer programming)",15%
1,Other,13%
2,Retail or wholesale (incl. online shops),13%
3,"Personal services (e.g. beauty and wellness, repair of household goods)",12%
4,"Professional services (e.g., financial services, consulting, travel agents, business services)",7%
5,"Arts, entertainment or recreation (e.g., museum, creative arts, sports club)",7%
6,"Accommodation (e.g., hotels, camping grounds)",6%
7,"Healthcare (e.g., dentist, senior care)",6%
8,Restaurant/café or other food services,4%
9,Construction or home repair,4%
10,"Real estate (e.g., brokerage, leasing, management)",4%
11,Non-profit/charity organization,3%
12,Manufacturing,3%
13,"Education (e.g., schools, tutoring, driving school)",2%
14,"Transportation or storage (e.g., taxi, warehousing)",1%
15,Automotive repair or services,1%
