,Quarter,Number of unqiue phishing sites
0,Q2 '20,146994
1,Q1 '20,165772
2,Q4 '19,162155
3,Q3 '19,266387
4,Q2 '19,182465
5,Q1 '19,180768
6,Q4 '18,138328
7,Q3 '18,151014
8,Q2 '18,233040
9,Q1 '18,263538
10,Q4 '17,180577
11,Q3 '17,190942
12,Q2 '17,146375
13,Q1 '17,144721
14,Q4 '16,277693
15,Q3 '16,364424
16,Q2 '16,466065
17,Q1 '16,289371
18,Q4 '15,158574
19,Q3 '15,241140
20,Q2 '15,253007
21,Q1 '15,136347
22,Q4 '14,46824
23,Q3 '14,92473
24,Q2 '14,128378
25,Q1 '14,125215
26,Q4 '13,111773
27,Q3 '13,143353
