,Month,Cumulative number of patients in ICU
0,Dec 20,544
1,Dec 19,541
2,Dec 18,547
3,Dec 17,562
4,Dec 16,571
5,Dec 15,594
6,Dec 14,615
7,Dec 13,617
8,Dec 12,627
9,Dec 11,646
10,Dec 10,658
11,Dec 9,662
12,Dec 8,677
13,Dec 7,724
14,Dec 6,743
15,Dec 5,758
16,Dec 4,789
17,Dec 3,786
18,Dec 2,829
19,Dec 1,854
20,Nov 30,900
21,Nov 29,904
22,Nov 28,947
23,Nov 27,998
24,Nov 26,1034
25,Nov 25,1071
26,Nov 24,1105
27,Nov 23,1169
28,Nov 22,1194
29,Nov 21,1201
30,Nov 20,1256
31,Nov 19,1286
32,Nov 18,1323
33,Nov 17,1356
34,Nov 16,1408
35,Nov 15,1439
36,Nov 14,1423
37,Nov 13,1457
38,Nov 12,1456
39,Nov 11,1463
40,Nov 10,1470
41,Nov 9,1474
42,Nov 8,1470
43,Nov 7,1464
44,Nov 6,1459
45,Nov 5,1428
46,Nov 4,1412
47,Nov 3,1353
48,Nov 2,1302
49,Nov 1,1223
50,Oct 31,1161
51,Oct 30,1105
52,Oct 29,1057
53,Oct 28,994
54,Oct 27,912
55,Oct 26,809
56,Oct 25,756
57,Oct 24,694
58,Oct 23,633
59,Oct 22,573
60,Oct 21,525
61,Oct 20,486
62,Oct 19,446
63,Oct 18,412
64,Oct 17,384
65,Oct 16,358
66,Oct 15,327
67,Oct 14,313
68,Oct 13,281
69,Oct 12,268
70,Oct 11,243
71,Oct 10,226
72,Oct 9,212
73,Oct 8,213
74,Oct 7,201
75,Oct 6,189
76,Oct 5,195
77,Oct 4,186
78,Oct 3,185
79,Oct 2,163
80,Oct 1,156
81,Sep 30,157
82,Sep 29,150
83,Sep 28,140
84,Sep 27,135
85,Sep 26,120
86,Sep 25,109
87,Sep 24,104
88,Sep 23,95
89,Sep 22,94
90,Sep 21,87
91,Sep 20,77
92,Sep 19,78
93,Sep 18,78
94,Sep 17,69
95,Sep 16,74
96,Sep 15,67
97,Sep 14,72
98,Sep 13,71
99,Sep 12,68
100,Sep 11,67
101,Sep 10,65
102,Sep 9,60
103,Sep 8,59
104,Sep 7,52
105,Sep 6,53
106,Sep 5,53
107,Sep 4,52
108,Sep 3,58
109,Sep 2,60
110,Sep 1,68
111,Aug 31,74
112,Aug 30,71
113,Aug 29,72
114,Aug 28,77
115,Aug 27,82
116,Aug 26,81
117,Aug 25,85
118,Aug 24,89
119,Aug 23,87
120,Aug 22,85
121,Aug 21,84
122,Aug 20,82
123,Aug 19,83
124,Aug 18,89
125,Aug 17,91
126,Aug 16,86
127,Aug 15,82
128,Aug 14,80
129,Aug 13,74
130,Aug 12,76
131,Aug 11,77
132,Aug 10,73
133,Aug 9,69
134,Aug 8,67
135,Aug 7,69
136,Aug 6,65
137,Aug 5,61
138,Aug 4,63
139,Aug 3,54
140,Aug 2,58
141,Aug 1,56
142,Jul 31,48
143,Jul 30,42
144,Jul 29,47
145,Jul 28,49
146,Jul 27,52
147,Jul 26,47
148,Jul 25,44
149,Jul 24,41
150,Jul 23,40
151,Jul 22,41
152,Jul 21,33
153,Jul 20,36
154,Jul 19,31
155,Jul 18,30
156,Jul 17,28
157,Jul 16,28
158,Jul 15,27
159,Jul 14,27
160,Jul 13,23
161,Jul 12,27
162,Jul 11,28
163,Jul 10,32
164,Jul 9,36
165,Jul 8,32
166,Jul 7,32
167,Jul 6,27
168,Jul 5,30
169,Jul 4,29
170,Jul 3,32
171,Jul 2,35
172,Jul 1,36
173,Jun 30,37
174,Jun 29,41
175,Jun 28,36
176,Jun 27,34
177,Jun 26,36
178,Jun 25,38
179,Jun 24,40
180,Jun 23,41
181,Jun 22,42
182,Jun 21,50
183,Jun 20,53
184,Jun 19,50
185,Jun 18,52
186,Jun 17,60
187,Jun 16,67
188,Jun 15,76
189,Jun 14,85
190,Jun 13,82
191,Jun 12,88
192,Jun 11,89
193,Jun 10,99
194,Jun 9,102
195,Jun 8,115
196,Jun 7,116
197,Jun 6,111
198,Jun 5,121
199,Jun 4,137
200,Jun 3,145
201,Jun 2,172
202,Jun 1,166
203,May 31,168
204,May 30,173
205,May 29,187
206,May 28,208
207,May 27,220
208,May 26,249
209,May 25,251
210,May 24,256
211,May 23,259
212,May 22,268
213,May 21,277
214,May 20,313
215,May 19,345
216,May 18,342
217,May 17,371
218,May 16,364
219,May 15,380
220,May 14,407
221,May 13,420
222,May 12,465
223,May 11,478
224,May 10,476
225,May 9,502
226,May 8,508
227,May 7,538
228,May 6,646
229,May 5,646
230,May 4,655
231,May 3,674
232,May 2,689
233,May 1,740
234,Apr 30,769
235,Apr 29,797
236,Apr 28,876
237,Apr 27,903
238,Apr 26,891
239,Apr 25,934
240,Apr 24,970
241,Apr 23,993
242,Apr 22,1020
243,Apr 21,1079
244,Apr 20,1071
245,Apr 19,1081
246,Apr 18,1119
247,Apr 17,1140
248,Apr 16,1182
249,Apr 15,1204
250,Apr 14,1223
251,Apr 13,1234
252,Apr 12,1223
253,Apr 11,1262
254,Apr 10,1278
255,Apr 9,1285
256,Apr 8,1276
257,Apr 7,1260
258,Apr 6,1257
259,Apr 5,1261
260,Apr 4,1245
261,Apr 3,1205
262,Apr 2,1144
263,Apr 1,1088
264,Mar 31,1021
265,Mar 30,927
266,Mar 29,867
267,Mar 28,789
268,Mar 27,690
269,Mar 26,605
270,Mar 25,474
271,Mar 24,381
272,Mar 23,322
273,Mar 22,290
274,Mar 21,238
275,Mar 20,164
