,Month,PSNB in million GBP
0,Feb '18,-272
1,Jan '18,-11719
2,Dec '17,1100
3,Nov '17,6463
4,Oct '17,6257
5,Sep '17,3465
6,Aug '17,2815
7,Jul '17,-2317
8,Jun '17,4590
9,May '17,5560
10,Apr '17,7678
11,Mar '17,508
12,Feb '17,-2770
13,Jan '17,-13213
14,Dec '16,4493
15,Nov '16,8336
16,Oct '16,6957
17,Sep '16,6065
18,Aug '16,6364
19,Jul '16,-125
20,Jun '16,4155
21,May '16,6383
22,Apr '16,8382
23,Mar '16,3854
24,Feb '16,4052
25,Jan '16,-9535
26,Dec '15,6745
27,Nov '15,10865
28,Oct '15,9921
29,Sep '15,7447
30,Aug '15,8219
31,Jul '15,1508
32,Jun '15,7238
33,May '15,6973
34,Apr '15,8809
35,Mar '15,4898
36,Feb '15,4861
37,Jan '15,-6140
38,Dec '14,11245
39,Nov '14,10242
40,Oct '14,10505
41,Sep '14,8861
42,Aug '14,7982
43,Jul '14,2762
44,Jun '14,7785
45,May '14,9995
46,Apr '14,10144
47,Mar '14,4967
48,Feb '14,7642
49,Jan '14,-2647
