,Year,Inflation rate compared to previous year
0,2024*,5.3%
1,2023*,5.6%
2,2022*,5.8%
3,2021*,6%
4,2020*,6.1%
5,2019*,4.5%
6,2018,4.15%
7,2017,4.45%
8,2016,9.93%
9,2015,7.21%
10,2014,9.04%
11,2013,9.87%
12,2012,8.31%
13,2011,9.57%
14,2010,9.57%
15,2009,12.62%
16,2008,6.68%
17,2007,6.2%
18,2006,7.96%
19,2005,4.54%
20,2004,3.96%
21,2003,4.74%
22,2002,2.9%
23,2001,2.44%
24,2000,3.39%
25,1999,11.38%
26,1998,8.33%
27,1997,8.1%
28,1996,7.18%
29,1995,7.68%
30,1994,8.95%
31,1993,8.87%
32,1992,21.06%
33,1991,7.94%
34,1990,8.93%
35,1989,8.08%
36,1988,11.02%
37,1987,13.29%
38,1986,15.85%
39,1985,4.13%
40,1984,6.21%
