,hotel,Expected Wi-Fi speed in Mbps
0,Singapore Marriott Tang Plaza Hotel,69.4
1,Marina Bay Sands,31.3
2,Capri by Fraser Changi City,30.5
3,The Fullerton Hotel Singapore,28.9
4,Hotel Jen Tanglin Singapore,25.9
5,Riverview Hotel Singapore,25.3
6,Parkroyal on Kitchener Road,24.2
7,Royal Plaza On Scotts,23.0
8,Shangri-La Hotel Singapore,23.0
9,Rendezvous Hotel Singapore by Far East Hospitality,21.6
10,The Westin Singapore,19.0
11,Holiday Inn Express Singapore Clarke Quay,18.7
12,Hotel Jen Orchardgateway Singapore,16.1
13,"The Ritz-Carlton, Millenia Singapore",13.4
14,The Fullerton Bay Hotel Singapore,12.7
