,radio company,Number of average active sessions
0,Pandora Corporate,2098386
1,iHeartRadio,429628
2,NPR Member Stations*,98496
3,RADIO.COM,84927
4,Cumulus Streaming Network,72234
5,Univision,29434
6,Beasley Broadcasting Corporate,25104
7,Hubbard Broadcasting,18864
8,EMF Corporate,16959
9,Salem Communications,15614
10,AccuRadio,14959
11,New York Public Radio,13680
12,Bonneville International,11511
13,Urban One,10475
14,ESPN Radio Corporate,9836
15,Emmis Communications,7979
16,Midwest Communications,6953
17,Prisa Radio,6831
18,Classical KUSC/KDFC,5515
19,Entravision Communications Corporation,5254
