,Year,Exports in billion U.S. dollars
0,2019,1645.53
1,2018,1665.99
2,2017,1546.47
3,2016,1451.46
4,2015,1503.33
5,2014,1621.87
6,2013,1578.52
7,2012,1545.82
8,2011,1482.51
9,2010,1278.49
10,2009,1056.04
11,2008,1287.44
12,2007,1148.2
13,2006,1025.97
14,2005,901.08
15,2004,814.87
16,2003,724.77
17,2002,693.1
18,2001,729.1
19,2000,781.92
20,1999,695.8
21,1998,682.14
22,1997,689.18
23,1996,625.07
24,1995,584.74
25,1994,512.63
26,1993,465.09
27,1992,448.16
28,1991,421.73
29,1990,393.59
30,1989,363.81
31,1988,322.43
32,1987,254.12
