,Year,GDP per capita in U.S. dollars
0,2025*,842.27
1,2024*,811.87
2,2023*,781.7
3,2022*,749.27
4,2021*,710.18
5,2020*,639.85
6,2019*,685.68
7,2018*,713.03
8,2017,671.18
9,2016,700.56
10,2015,776.11
11,2014,1241.0
12,2013,1180.37
13,2012,1155.53
14,2011,1162.47
15,2010,1046.89
16,2009,933.68
17,2008,1072.77
18,2007,915.12
19,2006,804.48
20,2005,739.41
21,2004,567.51
22,2003,360.74
23,2002,287.3
24,2001,252.59
25,2000,210.22
26,1999,238.56
27,1998,277.79
28,1997,252.17
29,1996,269.04
30,1995,248.07
31,1994,215.01
32,1993,271.78
33,1992,318.43
34,1991,312.82
35,1990,323.31
36,1989,274.97
37,1988,298.42
38,1987,261.66
39,1986,236.6
40,1985,196.95
