,Month,Sales in million GBP
0,Dec 19,2069.2
1,Nov 19,1802.6
2,Oct 19,1446.3
3,Sep 19,1319.2
4,Aug 19,1329.2
5,Jul 19,1419.1
6,Jun 19,1351.4
7,May 19,1377.6
8,Apr 19,1348.0
9,Mar 19,1345.3
10,Feb 19,1243.7
11,Jan 19,1280.3
12,Dec 18,1854.6
13,Nov 18,1816.9
14,Oct 18,1332.9
15,Sep 18,1219.0
16,Aug 18,1192.9
17,July 18,1246.2
18,June 18,1248.2
19,May 18,1264.2
20,Apr 18,1178.2
21,Mar 18,1175.7
22,Feb 18,1093.9
23,Jan 18,1126.9
24,Dec 17,1641.6
25,Nov 17,1068.4
26,Oct 17,1179.7
27,Sep 17,1090.7
28,Aug 17,1046.7
29,Jul 17,1074.4
30,Jun 17,1078.9
31,May 17,1043.1
32,Apr 17,1042.7
33,Mar 17,1009.1
34,Feb 17,949.0
35,Jan 17,992.4
36,Dec 16,1505.6
37,Nov 16,1460.5
38,Oct 16,1076.8
39,Sep 16,960.5
40,Aug 16,879.6
41,Jul 16,894.2
42,Jun 16,898.5
43,May 16,890.5
44,Apr 16,854.0
45,Mar 16,811.7
46,Feb 16,776.5
47,Jan 16,854.4
