,Response,Share of respondents
0,I don't know how to distinguish between legal and illegal online platforms,60%
1,I don't pay for content which I may not like,57%
2,"Content is too expensive, otherwise I'd buy it",54%
3,I'm already paying for my internet connection,54%
4,Easy and fast access to content,51%
5,I can't access the content any other way,32%
6,There are no consequences for downloading content illegally,30%
7,"When I travel abroad, within the EU, I consume online content",30%
8,Offline access and less data usage,28%
9,I can't wait for the content to come on the market,26%
10,I'm not hurting anybody or the industry,24%
