,educational institution,Number of students*
0,Total,1861600
1,Comprehensive schools*,550400
2,Adult education centres,472300
3,Vocational institutes,194500
4,Universities,159200
5,Universities of applied sciences,146100
6,Upper secondary general schools,112200
7,Music schools and colleges,60900
8,Comprehensive and upper secondary general level schools,28600
9,Study circle centres,31700
10,Specialised vocational institutes,13000
11,Summer universities,26000
12,Folk high schools,15900
13,Vocational adult education centres,19700
14,Sports institutes,19200
15,Special needs vocational institutes,5500
16,Comprehensive school level special education schools,4200
17,Military academies,900
18,Other educational institutions,1000
19,"Fire, police and security service institutes",300
