,Response,Share of respondents
0,Generally abusive language or comments directed at you,62%
1,Sexist or misogynist comments directed at you,46%
2,Threats (direct or indirect) of physical or sexual violence against you,26%
3,The posting of your personal details online with the aim to cause you alarm or stress,17%
4,Racist language or comments directed at you,14%
5,The posting of intimate images of you online without your consent,8%
6,Homophobic or transphobic language or comments direct at you,7%
7,Other types of online abuse,18%
8,Don't know,2%
9,Prefer not to say,2%
