,Year,Revenue in million U.S. dollars
0,'19,3187.7
1,'18,3297.3
2,'17,2168.0
3,'16,1900.53
4,'15,687.61
5,'14,1443.45
6,'13,1067.77
7,'12,1449.88
8,'11,719.8
9,'10,508.92
10,'09,287.42
11,'08,1454.38
12,'07,584.25
13,'06,468.96
14,'05,496.37
15,'04,821.08
16,'03,449.67
17,'02,497.47
18,'01,14.69
19,'00,252.32
20,'99,32.27
21,'98,164.79
22,'97,172.27
23,'96,39.03
24,'95,260.98
25,'94,90.7
26,'93,55.91
27,'92,179.46
28,'91,125.36
29,'90,169.14
30,'89,251.19
31,'87,15.68
32,'84,20.07
33,'83,59.95
34,'81,120.8
35,'80,43.04
36,'78,134.22
