,public library,Number of visits
0,"New York Public Library, The Branch Libraries, NY",18162641
1,"Los Angeles Public Library, CA",13821289
2,"Queens Borough Public Library, NY",12881000
3,"Brooklyn Public Library, NY",12024071
4,"County of Los Angeles Public Library, CA",11832995
5,"Chicago Public Library, IL",11182193
6,"King County Library System, WA",10156339
7,"Broward County Libraries Division, FL",8749429
8,"Wake County Public Libraries, NC",7931842
9,"Cuyahoga County Public Library, OH",7799480
10,"Public Library of Cincinnati & Hamilton County, OH",7395284
11,"Columbus Metropolitan Library, OH",7359664
12,"San Francisco Public Library, CA",7248424
13,"Miami-Dade Public Library System, FL",6762294
14,"Las Vegas-Clark County Library District, NV",6673789
15,"Seattle Public Library, WA",6470116
16,"Palm Beach County Library System, FL",6313598
17,"San Jose Public Library, CA",6168223
18,"Free Library of Philadelphia, PA",5961777
19,"San Diego County Library, CA",5920891
20,"Saint Louise County Library, MO",5752996
21,"San Diego Public Library, CA",5602380
22,"Harris County Public Library, TX",5409433
23,"Pima County Public Library, AZ",5404382
24,"Hennepin County Library, MN",5392726
