,Year,Inflation rate compared to previous year
0,2025*,2.42%
1,2024*,2.24%
2,2023*,1.86%
3,2022*,1.52%
4,2021*,1.34%
5,2020*,0.75%
6,2019,1.61%
7,2018,1.91%
8,2017,2%
9,2016,1.28%
10,2015,1.49%
11,2014,2.49%
12,2013,2.48%
13,2012,1.71%
14,2011,3.33%
15,2010,2.86%
16,2009,1.77%
17,2008,4.35%
18,2007,2.36%
19,2006,3.52%
20,2005,2.72%
21,2004,2.28%
22,2003,2.76%
23,2002,3.05%
24,2001,4.41%
25,2000,4.46%
26,1999,1.41%
27,1998,0.86%
28,1997,0.23%
29,1996,2.65%
30,1995,4.58%
31,1994,1.97%
32,1993,1.75%
33,1992,0.97%
34,1991,3.31%
35,1990,7.23%
36,1989,7.58%
37,1988,7.27%
38,1987,8.53%
39,1986,9.05%
40,1985,6.74%
