,Month,Exchange rate of 100 euros
0,Oct 2020,744.24
1,Sep 2020,744.18
2,Aug 2020,744.6
3,July 2020,744.67
4,Jun 2020,745.47
5,May 2020,745.77
6,Apr 2020,746.14
7,Mar 2020,747.03
8,Feb 2020,747.13
9,Jan 2020,747.29
10,Dec 2019,747.21
11,Nov 2019,747.2
12,Oct 2019,746.93
13,Sep 2019,746.34
14,Aug 2019,746.02
15,Jul 2019,746.56
16,Jun 2019,746.68
17,May 2019,746.74
18,Apr 2019,746.49
19,Mar 2019,746.25
20,Feb 2019,746.27
21,Jan 2019,746.57
22,Dec 2018,746.51
23,Nov 2018,746.11
24,Oct 2018,745.97
25,Sep 2018,745.83
26,Aug 2018,745.58
27,Jul 2018,745.23
28,Jun 2018,744.97
29,May 2018,744.81
