,Country,Claims paid in million euros
0,United Kingdom,246218
1,France,118214
2,Germany,78834
3,Italy,72207
4,Switzerland,28840
5,Spain,24788
6,Sweden,22148
7,Netherlands,20121
8,Finland,19884
9,Denmark,17148
10,Belgium,16381
11,Austria,6622
12,Portugal,6553
13,Norway,5642
14,Poland,4995
15,Czech Rep,1417
16,Greece,1382
17,Hungary,1149
18,Luxembourg,987
19,Slovakia,763
20,Slovenia,484
21,Turkey,436
22,Croatia,312
23,Malta,247
24,Romania,220
25,Cyprus,213
26,Bulgaria,70
27,Estonia,46
28,Latvia,43
