,magazine,Copies sold
0,Sorrisi e canzoni TV,395219
1,Settimanale Dipiu',344420
2,Telesette,282140
3,Venerdi' di Repubblica,231936
4,Io Donna,223800
5,Gente,212774
6,Espresso,198720
7,Famiglia cristiana,198442
8,Oggi,188447
9,D La Repubblica delle Donne,171272
10,Dipiu' TV,166860
11,Settimanale Dipiu' e Dipiu' TV cucina,159430
12,Intimita',124350
13,Diva e Donna,123870
14,Chi,108680
15,Guida TV nuova,108000
16,Donna Moderna,105713
17,F,101366
18,Sport Week,93480
19,Grazia,90660
20,Vanity Fair,86255
21,Telepiu',84750
22,Grand Hotel,84750
23,Elle,74887
24,TV Mia,69280
25,Panorama,67981
26,Nuovo TV,67936
27,Settimanale Nuovo,61123
28,Giallo,59480
29,Milano Finanza,53940
30,Dolomiten Magazin,50602
31,Viversani e Belli,41944
32,Confidenze,40598
33,Tu style,38857
34,Starbene,34289
35,Ci piace cucinare!,33024
36,Autosprint,25685
37,Spy,15400
38,Motosprint,9543
39,FF- Sudtiroler Magazin,8480
