,Year,Inflation rate compared to previous year
0,2025*,2.5%
1,2024*,2.5%
2,2023*,2.52%
3,2022*,1.7%
4,2021*,1.41%
5,2020*,-0.28%
6,2019,0.68%
7,2018,4.45%
8,2017,3.61%
9,2016,-0.62%
10,2015,-1.1%
11,2014,2.9%
12,2013,4.83%
13,2012,4.52%
14,2011,4.16%
15,2010,4.85%
16,2009,-0.74%
17,2008,13.97%
18,2007,4.74%
19,2006,6.26%
20,2005,3.49%
21,2004,3.37%
22,2003,1.63%
23,2002,1.84%
24,2001,1.77%
25,2000,0.67%
26,1999,0.6%
27,1998,3.08%
28,1997,3.04%
29,1996,6.5%
30,1995,2.35%
31,1994,3.52%
32,1993,3.3%
33,1992,4.02%
34,1991,8.16%
35,1990,16.19%
36,1989,25.67%
37,1988,6.71%
38,1987,-0.21%
39,1986 **,-
40,1985,2.81%
