,Song (first performance/release date),Number of tracks on Spotify
0,Silent Night (1818)*,26496
1,White Christmas (1940),20721
2,Jingle Bells (1857)*,19080
3,The Christmas Song (1944),13208
4,The First Noel (1833)*,12476
5,Wintern Wonderland (1934),12196
6,Santa Claus Is Coming To Town (1934),12085
7,Have Yourelf a Merry Little Christmas (1943),11714
8,Joy To The World (1836)*,11395
9,Away In A Manger (1887)*,10074
10,"God Rest Ye, Merry Gentlemen (1827)*",9988
11,"Hark, the Herald Angels Sing (1840)*",9864
12,O Holy Night (1847)*,9730
13,I’ll Be Home for Christmas (1943),9318
14,Deck the Halls (1800)*,9146
15,O Little Town of Bethlehem (1868)*,9001
16,"Rudolph, the Red-Nosed Reindeer (1939)",8947
17,Silver Bells (1950),8451
18,It Came Upon the Midnight Clear (1850)*,8291
19,Ave Maria (1850)*,8195
20,O Come All Ye Faithful (1751)*,8159
21,Sleigh Ride (1948),7684
22,We Wish You a Merry Christmas (1500)*,7491
23,What Child Is This? (1865)*,7443
24,Blue Christmas (1964),6964
