,Quarter,Quarterly revenue in thousand euros
0,Q2 2020,7443160
1,Q1 2020,9067815
2,Q4 2019,8967090
3,Q3 2019,8953062
4,Q2 2019,9117205
5,Q1 2019,9392733
6,Q4 2018,9315882
7,Q3 2018,9478345
8,Q2 2018,9189014
9,Q1 2018,9607718
10,Q4 2017,10073794
11,Q3 2017,9463325
12,Q2 2017,9721883
13,Q1 2017,9891696
14,Q4 2016,8997604
15,Q3 2016,8791339
16,Q2 2016,8772961
17,Q1 2016,8873171
18,Q4 2015,8909457
19,Q3 2015,9305843
20,Q2 2015,9299492
21,Q1 2015,9494613
22,Q4 2014,9088220
23,Q3 2014,9161096
24,Q2 2014,9181022
25,Q1 2014,9508555
