,Quarter,Year-on-year change
0,Q3 '20,8%
1,Q2 '20,-1%
2,Q1 '20,-22%
3,Q4 '19,3%
4,Q3 '19,3%
5,Q2 '19,1%
6,Q1 '19,15%
7,Q4 '18,22%
8,Q3 '18,27%
9,Q2 '18,32%
10,Q1 '18,31%
11,Q4 '17,29%
12,Q3 '17,29%
13,Q2 '17,14.3%
14,Q1 '17,6.8%
15,Q4 '16,-2.6%
16,Q3 '16,-0.7%
17,Q2 '16,10.2%
18,Q1 '16,31.2%
19,Q4 '15,33.1%
20,Q3 '15,36%
21,Q2 '15,38.4%
22,Q1 '15,34%
23,Q4 '14,47.5%
24,Q3 '14,52%
25,Q2 '14,58.2%
26,Q1 '14,59.1%
27,Q4 '13,50.3%
28,Q3 '13,42.3%
29,Q2 '13,38.6%
30,Q1 '13,40%
31,Q4 '12,41.6%
32,Q3 '12,49.7%
33,Q2 '12,59.8%
34,Q1 '12,75%
35,Q4 '11,82.5%
36,Q3 '11,85.1%
37,Q2 '11,78.4%
38,Q1 '11,88.3%
39,Q4 '10,94.4%
40,Q3 '10,76.4%
41,Q2 '10,74.4%
42,Q1 '10,59.6%
